流水號,課號,課程識別碼,班次,課程名稱,學分,教師姓名,學期,上課時間,上課地點
83239,BICD2038,610 23060,,視覺傳播,3,李明道,111-1,"星期五7,8,9(14:20~17:20)",生傳418室
55739,ECON2024,303 22080,,影視幕後的商業運作,2,馮勃翰,111-1,"星期四3,4(10:20~12:10)",社科201
87235,GenSys5023,B48 U0420,2.0,以Excel進行資料分析,2,林友瑜,111-1,"星期四8,9(15:30~17:20)",共301
29331,LIS2010,106 26900,,電腦網路與通訊,2,楊東謀,111-1,"星期二6,7(13:20~15:10)",圖資視聽室
50238,LIS4011,106 46400,,圖書館統計學,3,林維真,111-1,"星期一8,9,10(15:30~18:20)",圖資視聽室
29454,LIS4015,106 47500,,研究方法與論文寫作,2,鄭瑋,111-1,"星期二3,4(10:20~12:10)",圖資視聽室
70941,PS1011,302 10310,3.0,國際關係一,2,郭銘傑,111-1,"星期四6,7(13:20~15:10)",社科和碩講堂
37079,PS2021,302 24710,,經濟學乙一,2,王宏文,111-1,"星期五3,4(10:20~12:10)",社科201
72068,Psy1007,207 10100,5.0,普通心理學,3,葉俊毅,111-1,"星期三2,3,4(9:10~12:10)",共101
54414,Write5024,Q01 U0580,1.0,小故事，大世界,3,張  晨,111-1,"星期三6,7,8(13:20~16:20)",博雅301
